query;docId1;title1;docId2;title2;docId3;title3;docId4;title4;docId5;title5;docId6;title6;docId7;title7;;
"ação civil pública ""fornecimento de remédios""";862232682;RE 605533;;;;;;;;;;;;;;
"adional de 2,5 ""folha de salário"" ""instituições financeiras"" ""emenda constitucional n. 20 de 1998"" ""previsão anterior""";862213814;RE 599309;;;;;;;;;;;;;;
"ajuizamento ""ação coletiva"" ""nulidade de ato administrativo de aposentadoria"" ""lesão ao patrimônio público"" ""legitimidade ativa""";1105676204;RE 409356;;;;;;;;;;;;;;
"anulação de ato administrativo ""concessão de aposentadoria"" ""prazo decadencial"" ""termo inicial""";860689925;RE 636553;;;;;;;;;;;;;;
"anulação ""ato administrativo"" ""pensão"" ""Tribunal de Contas"" ""prazo"" ""termo inicial""";860689925;RE 636553;;;;;;;;;;;;;;
"ANVISA ""medicamentos não aprovados"" ""obrigatoriedade"" ""fornecimento pelo Estado""";311629411;RE 657718;;;;;;; ;;;;;;;
"aplicação de multa de trânsito ""pessoa jurídica de direito privado"" ""administração pública indireta"" ""delegação"" ""possibilidade""";1131242630;RE 633782;;;;;;;;;;;;;;
"aposentadoria especial ""continuidade da atividade"" ""vedação ao recebimento do benefício""";919851928;RE 791961;;;;;;;;;;;;;;
"aposentadoria ""ato administrativo"" ""anulação"" ""prazo"" ""termo inicial""";860689925;RE 636553;;;;;;;;;;;;;;
"aposentadoria ""regra de transição"" ""EC n. 20/98"" ""requisitos necessários"" ""tempo efetivo no cargo""";1131263828;RE 662423;;;;;;;;;;;;;;
"Art. 5 da CF ""Art. 366 do CPP"" "" ""Art. 109 do CP""";1170062282;RE 600851;1289712680;STF 497;1289710991;STJ 415;;;;;;;;;;
"art. 5, II da CF e ""art. 146, III, a da CF""";861892747;RE 1053574;;;;;;;;;;;;;;
"auxílio-alimentação ""servidores públicos"" ""carreiras distintas"" ""equiparação"" ""possibilidade""";1115807658;RE 710293;;;;;;;;;;;;;;
"cancelamento automático ""inscrição em órgão profissional"" ""inadimplemento da anuidade""  ""constitucionalidade""";862062434;RE 808424;;;;;;;;;;;;;;
"cancelamento de certame ""suspeita de fraude"" ""danos materiais"" ""responsabilidade civil do Estado""";919833707;RE 662405;;;;;;;;;;;;;;
"cancelamento de concurso público ""suspeita de fraude"" ""indenização de candidatos"" ""responsabilidade do Estado""";919833707;RE 662405;;;;;;;;;;;;;;
"carreira pública escalonada em classes ""promoção de cargo"" ""aposentadoria"" ""lapso temporal"" ""05 anos"" ""EC 20/98""";1131263828;RE 662423;;;;;;;;;;;;;;
"certidão positiva de débito com efeito de negativa ""câmara de vereadores inadimplente"" ""obrigações tributárias acessórias"" ""possibilidade""";768165943;ARE 791932;;;;;;;;;;;;;;
"cláusula de edital ""concurso público"" ""candidato"" ""ação penal""";919837487;RE 560900;;;;;;;;;;;;;;
"cobrança de IPI ""garrafas"" ""garrafões"" ""tampas plásticas"" ""possibilidade""";1242300655;RE 606314;;;;;;;;;;;;;;
"coexistência dos regimes ""apuração do PIS/Cofins"" ";1119123695;RE 607642;1289712842;STF 659;;;;;;;;;;;;
"compensação de créditos ""PIS/COFINS"" ""princípio da não-cumulatividade""";1100433248;RE 587108;;;;;;;;;;;;;;
"compensação tributária ""correção monetária"" ""período-base de 1990""";861892735;RE 545796;;;;;;;;;;;;;;
"compensação tributária ""correção monetária"" ""pessoas jurídicas"" ""ano-base 1990""";861892735;RE 545796;;;;;;;;;;;;;;
"competência constitucional ""perda do posto e da patente dos oficiais"" ";1107684631;RE 601146;;;;;;;;;;;;;;
"competência legislativa ""obrigatoriedade"" ""prestação de serviços de acondicionamentou ou embalagem de compras"" ""constitucionalidade"" ";862281479;RE 839950;;;;;;;;;;;;;;
"competência legistativa ""transporte irregular de passageiros"" ""penalidade de apreensão de veículos""";853422463;RE 661702;;;;;;;;;;;;;;
"competencia ""conflito de interesses"" ""contribuição previdenciária""";768158646;RE 594435;;;;;;;;;;;;;;
"competência ""contribuição previdenciária"" ""complementação de proventos e de pensões""";768158646;RE 594435;;;;;;;;;;;;;;
"competência ""controvérsia entre representante e representadas"" ""justiça comum""";945641846;RE 606003;;;;;;;;;;;;;;
"competência ""lei estadual"" ""proteção do consumidor"" ""postagem"" ""cobrança de empresas públicas ou privadas"" ""prestação de serviços no ente federativo""";1153843301;ARE 649379;;;;;;;;;;;;;;
"competência ""lei estadual"" ""proteção do consumidor"" ""postagem"" ""cobrança de empresas públicas ou privadas"" ""prestação de serviços""";1153843301;ARE 649379;;;;;;;;;;;;;;
"concessão de aposentadoria ""legalidade"" ""Tribunal de Contas"" ""prazo"" ";860689925;RE 636553;;;;;;;;;;;;;;
"concurso público ""crença religiosa"" ";1192153598;RE 611874;;;;;;;;;;;;;;
"concurso público ""crença religiosa"" ""violação ao direito de igualdade""";1192153598;RE 611874;;;;;;;;;;;;;;
"CONFINS ""instituições financeiras"" ""majoração de alíquota"" ""legalidade""";862213813;RE 656089;;;;;;;;;;;;;;
"conflito ""liberdade de expressão de agente político"" ""defesa da coisa pública"" ""honra de terceiro""";919835587;RE 685493;;;;;;;;;;;;;;
"conselho de classe ""inadimplemento"" ""anuidade"" ""sanção"" ""suspensão do exercício profissional"" ""constitucionalidade""";865368308;RE 647885;;;;;;;;;;;;;;
"constitucionalidade ""aglutinação"" ""cargos anteriores"" ""carreira única"" ""ausência de concurso público""";865626487;RE 642895;1289713001;SV 43;;;;;;;;;;;;
"constitucionalidade ""cobrança de proprietários não associados"" ""taxa de manutenção e conservação de loteamento imobiliário urbano""";1194722389;RE 695911;;;;;;;;;;;;;;
"constitucionalidade ""ISS"" ""contratos de franquia""";865442290;RE 603136;;;;;;;;;;;;;;
"constitucionalidade ""modificações da base de cálculo"" ""PIS"" ""receita bruta operacional"" ""conceito legal""";768159236;RE 578846;;;;;;;;;;;;;;
"constitucionalidade ""suspensão de habiliação"" ""motorista profissional"" ""livre exercício do trabalho""";860712652;RE 607107;;;;;;;;;;;;;;
"contrato de previdência complementar ""nulidade"" ""benefício inferior"" ""mulheres"" ""princípio da isonomia""";1101522997;RE 639138;;;;;;;;;;;;;;
"contribuição previdenciária ""aposentadoria do servidor público"" ""terço de férias"" ""adicional de insalubridade""";768165936;RE 593068;;;;;;;;;;;;;;
"contribuição previdenciária ""portadores de doenças incapacitantes""";1179426975;RE 630137;;;;;;;;;;;;;;
"contribuição social ""alíquota diferenciada"" ""anterior à EC 20/98"" ""constitucionalidade"" ""instituições financeiras""";862213814;RE 599309;;;;;;;;;;;;;;
"contribuição social ""majoração diferenciada"" ""faturamento ou receita"" ""institiuições financeiras"" ""constitucionalidade""";862213813;RE 656089;;;;;;;;;;;;;;
"contribuição ""INCRA"" ""constitucionalidade"" ""emenda constitucional 33/2001""";1206573208;RE 630898;;;;;;;;;;;;;;
"contribuição ""serviço de iluminação"" ""destinação de recursos"" ""expansão da rede de iluminação"" ";1100297265;RE 666404;;;;;;;;;;;;;;
"contribuições devidas ""sebrae"" ""apex"" ""abdi""";1152444069;RE 603624;;;;;;;;;;;;;;
"cota de tela ""sanções administrativas"" ""constitucionalidade"" ";1217066360;RE 627432;;;;;;;;;;;;;;
"Creditamento de IPI ""Zona Franca de Manaus""";768177304;RE 592891;;;;;;;;;;;;;;
"declarações públicas ""agente político"" ""interesse público"" ""honra de terceiro"" ""danos morais""";919835587;RE 685493;1289712571;STF 396;1289712897;STF 714;;;;;;;;;;
